poi_id_1,poi_id_2,poi_name_1,poi_name_2,distance
69,46,Kids Home,Banoon Day Care,
69,39,Kids Home,Banoon Day Care,273.8209150472993
69,20,Kids Home,Lasuhran Spa,49.89923787551906
69,119,Kids Home,KAFD Metro Station,731.4608195373016
69,118,Kids Home,Aramco,680.5921833876263
69,126,Kids Home,king Abdullah financial center,672.0797324141433
69,131,Kids Home,Muqarnas Tower Parcel 1.09,427.79551272301876
69,140,Kids Home,The Steps,
69,281,Kids Home,PIF,371.2098838994338
69,604,Kids Home,TADAWUL TOWER,
69,168,Kids Home,Roland Berger,101.59616922924742
69,169,Kids Home,Saudi Venture Capital Company,101.59616922924742
69,170,Kids Home,Real Estate Registry,101.59616922924742
69,171,Kids Home,Fund Of Funds,101.59616922924742
69,191,Kids Home,Hectare Company,
69,193,Kids Home,Tools & Solutions,
69,172,Kids Home,local content & government procurement,101.59616922924742
69,175,Kids Home,Events Investment Fund,101.59616922924742
69,177,Kids Home,Soudah Development Co,101.59616922924742
69,43,Kids Home,Construction Office,
69,197,Kids Home,Alibaba Cloud,312.35605048667355
69,107,Kids Home,Saudi Group for Research and Media,980.8610744892239
69,166,Kids Home,Alvarez and Marsal,101.59616922924742
69,167,Kids Home,Alkhair Capital,101.59616922924742
69,44,Kids Home,Event Company,
69,174,Kids Home,ROSHN,101.59616922924742
69,540,Kids Home,Saudi Industrial Development Fund,278.38644369552617
69,173,Kids Home,Roche,101.59616922924742
69,196,Kids Home,Valuable Capital financial company,
69,190,Kids Home,eWTP Arabia Capital,
69,194,Kids Home,Bim Company,
69,195,Kids Home,Advanced Communications &Electronic,
69,595,Kids Home,AL JURAID,99.24363499765397
69,601,Kids Home,BANK RIYAD,455.9073568127265
69,602,Kids Home,SNB BANK,501.8505933367388
69,593,Kids Home,Tamkeen Academy,
69,188,Kids Home,Sports Boulevard,
69,189,Kids Home,Tourism  Development Fund,
69,248,Kids Home,5.09 (A.03),198.67495713210377
69,313,Kids Home,Khalil 2.05,623.9170045711134
69,314,Kids Home,Khalil2,610.5011927307024
69,187,Kids Home,King Salman Park,
69,309,Kids Home,2.09.B4,467.3947775482525
69,310,Kids Home,2.09.b4.1,477.42241905555807
69,307,Kids Home,2.09.b3,500.2508113892625
69,308,Kids Home,2.09.b3.1,502.46068455367214
69,305,Kids Home,2.09.b2,481.8994387548108
69,303,Kids Home,2.09.b1,482.7462936828128
69,304,Kids Home,2.09.B1.1,487.11757432883223
69,539,Kids Home,Tagpod,343.52078477767486
69,541,Kids Home,1.10 Khalil,165.35384418134512
69,306,Kids Home,2.09.b2.1,499.24561650405195
69,12,Kids Home,SIWAR FOODS,91.97097253287949
69,141,Kids Home,gharam restaurant,316.15347927009157
69,223,Kids Home,CRÃˆME London,
69,73,Kids Home,Monopoly,
69,77,Kids Home,LE PERROQUET,263.17346041566725
69,93,Kids Home,Sushi Samba,
69,581,Kids Home,KUURU,361.90478309670067
69,71,Kids Home,Black Tap,
69,207,Kids Home,urth caffe,
69,582,Kids Home,Good Food,250.4665061345691
69,136,Kids Home,veloce,293.08733050122623
69,33,Kids Home,Siwar Foods,341.4336818424503
69,63,Kids Home,siwar foods,41.634735000925474
69,85,Kids Home,Chalmont,
69,88,Kids Home,EL Camino Taco Bar Restaurant,
69,89,Kids Home,La Rustica Restaurant,
69,90,Kids Home,Starbucks,169.56645508494964
69,91,Kids Home,A.O.K Kitchen,
69,135,Kids Home,SPOUT CAFFE,386.1237369436067
69,143,Kids Home,CRÃˆME London,240.96754160445047
69,84,Kids Home,Pistrina,
69,128,Kids Home,Mr Chow,403.93185157894135
69,82,Kids Home,Tale CafÃ©,
69,83,Kids Home,Il Baretto,
69,163,Kids Home,Dnkin,473.14911631542145
69,237,Kids Home,Triasta cafe,237.3885822657712
69,273,Kids Home,Il Baretto,111.8584139868206
69,489,Kids Home,Draft CafÃ©,621.6771381062894
69,490,Kids Home,Joe & The Juice,
69,491,Kids Home,Pistrina Bakery,621.6771381062894
69,538,Kids Home,Zuma,378.9110120582203
69,537,Kids Home,lagate,74.02020992767528
69,324,Kids Home,Jones the grocer,
69,275,Kids Home,Maui,50.715454626555115
69,6,Kids Home,Coffee SP OUT,134.39665747046277
69,76,Kids Home,Trieste,
69,105,Kids Home,Jones the Grocer,
69,586,Kids Home,12 Cups,
69,38,Kids Home,Health Club,273.8209150472993
69,533,Kids Home,Four Spa,
69,326,Kids Home,kHALIL,97.08475209788774
69,318,Kids Home,White pharmacy,71.94419674721772
69,8,Kids Home,Priory Healthcare,
69,554,Kids Home,KAFD Grand Mosque,75.62219987290821
69,35,Kids Home,Prayer Hall,281.44203205236255
69,45,Kids Home,Reception SIDF&Tamken&Baby care,
69,492,Kids Home,Emirates NBD,621.6771381062894
69,185,Kids Home,Conference Centre,272.4252671056165
69,162,Kids Home,Alahli bank,473.14911631542145
69,125,Kids Home,National Development Fund,635.7971663901469
69,524,Kids Home,Parking pay machine-B4,437.6129192169422
69,523,Kids Home,Parking Pay Machine-B3,384.6789218477055
69,155,Kids Home,Area 1 Parking (Building 1.04,557.2551442511242
69,145,Kids Home,Alvarez & Marsal Middle East Limited,
69,204,Kids Home,PARKING,312.35605048667355
69,27,Kids Home,Parking Machine,13.118294836844354
69,521,Kids Home,Parking Pay Machine-B1,358.0114728242601
69,123,Kids Home,National Debt Management Center,630.8951717642904
69,440,Kids Home,4.08-GF-Office reception,670.1822486004481
69,182,Kids Home,Riyad Bank,209.6051619785346
69,146,Kids Home,Ministry of Culture,255.9656028563219
69,138,Kids Home,king Abdullah financial center,
69,280,Kids Home,Financial Plaza,296.324475899825
69,186,Kids Home,AMC cinema,272.4252671056165
69,184,Kids Home,KAFD Helipad,448.74635556312717
69,106,Kids Home,sidf Academy,
69,606,Kids Home,Waiting Lobby,448.4685057869823
69,1,Kids Home,Nouf Alsudairi abayas,28.310554987807798
69,279,Kids Home,Toby's Estate,233.79993694327413
69,276,Kids Home,Zaadna Line,239.16371513741998
69,37,Kids Home,Little Flora,273.43392380963195
69,34,Kids Home,Lagate,274.0809985347719
69,156,Kids Home,trading tower,544.7589421179451
69,164,Kids Home,Saudi Downtown Company,
69,7,Kids Home,Ameenah Oud,52.66474728543427
